type	name	sc	lefr	zcr	entropy
rumore	ristorante_02_010_002	79.488026	465.000000	0.269504	962065.756398
rumore	ristorante_02_011_000	69.551665	466.000000	0.208511	1825072.790211
rumore	ristorante_02_011_001	98.519803	460.000000	0.307801	476317.437545
rumore	ristorante_02_011_002	88.923367	473.000000	0.269504	501465.298373
rumore	ristorante_02_012_000	77.988978	450.000000	0.270922	705432.567368
rumore	ristorante_02_012_001	64.785250	456.000000	0.222695	681523.774580
rumore	ristorante_02_012_002	64.870839	452.000000	0.197163	820907.112535
rumore	ristorante_02_013_000	48.777646	446.000000	0.134752	722611.628361
rumore	ristorante_02_013_001	75.569755	455.000000	0.243972	298009.794459
rumore	ristorante_02_013_002	89.560171	472.000000	0.292199	988031.771053
rumore	ristorante_02_014_000	72.412444	484.000000	0.217021	293518.732066
rumore	ristorante_02_014_001	63.145529	451.000000	0.192908	554128.921334
rumore	ristorante_02_014_002	61.342601	459.000000	0.180142	1984038.795052
rumore	ristorante_02_015_000	69.776225	454.000000	0.228369	884435.879931
rumore	ristorante_02_015_001	56.068139	476.000000	0.201418	347661.907767
rumore	ristorante_02_015_002	74.097335	449.000000	0.225532	875082.536489
rumore	ristorante_02_016_000	69.174447	432.000000	0.228369	603385.882840
rumore	ristorante_02_016_001	71.231462	459.000000	0.238298	1120757.746534
rumore	ristorante_02_016_002	72.441918	461.000000	0.260993	1355992.961335
rumore	ristorante_02_017_000	45.662219	471.000000	0.170213	1078153.131448
rumore	ristorante_02_017_001	94.409113	468.000000	0.279433	1512498.930972
rumore	ristorante_02_017_002	77.239313	465.000000	0.245390	2027943.288386
rumore	ristorante_02_018_000	62.411461	447.000000	0.195745	985286.422847
rumore	ristorante_02_018_001	80.393823	460.000000	0.248227	1492250.403144
rumore	ristorante_02_018_002	74.200423	458.000000	0.243972	1154765.805681
rumore	ristorante_02_019_000	71.012317	464.000000	0.229787	848998.945344
rumore	ristorante_02_019_001	62.165234	457.000000	0.229787	895251.628087
rumore	ristorante_02_019_002	83.952078	455.000000	0.265248	729081.064636
rumore	ristorante_02_020_000	63.826556	462.000000	0.215603	919737.540756
rumore	ristorante_02_020_001	75.359428	473.000000	0.241135	1363358.471159
rumore	ristorante_02_020_002	67.727965	453.000000	0.188652	595794.536424
rumore	ristorante_02_021_000	79.451710	452.000000	0.283688	592280.280505
rumore	ristorante_02_021_001	78.465289	478.000000	0.228369	764797.702587
rumore	ristorante_02_021_002	66.847068	444.000000	0.212766	813693.747311
rumore	ristorante_02_022_000	80.860129	459.000000	0.285106	601771.083801
rumore	ristorante_02_022_001	62.561871	459.000000	0.200000	1325966.908003
rumore	ristorante_02_022_002	57.536356	379.000000	0.141844	-398576.858288
rumore	ristorante_02_023_000	39.474019	488.000000	0.160284	1201120.105803
rumore	ristorante_02_023_001	56.477895	455.000000	0.174468	1617841.606924
rumore	ristorante_02_023_002	57.182642	443.000000	0.150355	82378.863098
rumore	ristorante_02_024_000	132.207543	451.000000	0.421277	1201211.502375
rumore	ristorante_02_024_001	122.640071	494.000000	0.333333	522761.334998
rumore	ristorante_02_024_002	63.690682	476.000000	0.215603	918545.659394
rumore	ristorante_02_025_000	61.758980	495.000000	0.228369	182508.884651
rumore	ristorante_02_025_001	52.246155	483.000000	0.163121	791853.200497
rumore	ristorante_02_025_002	74.939249	460.000000	0.241135	1157158.679338
rumore	ristorante_02_026_000	58.502800	471.000000	0.194326	1049490.372636
rumore	ristorante_02_026_001	105.481402	459.000000	0.348936	1240944.525681
rumore	ristorante_02_026_002	60.400266	435.000000	0.141844	517193.282147
rumore	ristorante_02_027_000	86.556556	459.000000	0.241135	316514.395323
rumore	ristorante_02_027_001	65.123278	461.000000	0.202837	1857819.948100
rumore	ristorante_02_027_002	84.741777	460.000000	0.239716	2110851.869459
rumore	ristorante_02_028_000	55.691433	425.000000	0.150355	1146684.597459
rumore	ristorante_02_028_001	70.606545	458.000000	0.225532	305831.022226
rumore	ristorante_02_028_002	109.893484	492.000000	0.307801	921243.278626
rumore	ristorante_02_029_000	64.419433	446.000000	0.190071	936601.829526
rumore	ristorante_02_029_001	68.627245	457.000000	0.205674	707427.268779
rumore	ristorante_02_029_002	70.760242	477.000000	0.205674	223529.344590
rumore	ristorante_02_030_000	76.846970	455.000000	0.265248	980982.985053
rumore	ristorante_02_030_001	71.816354	449.000000	0.229787	949199.024184
rumore	ristorante_02_030_002	74.658638	445.000000	0.218440	937683.231594
rumore	ristorante_02_031_000	81.397546	469.000000	0.299291	1389453.366021
rumore	ristorante_02_031_001	70.813815	470.000000	0.205674	805945.670770
rumore	ristorante_02_031_002	87.465173	461.000000	0.286525	455497.776430
rumore	ristorante_02_032_000	91.294277	459.000000	0.334752	925666.743884
rumore	ristorante_02_032_001	65.799238	443.000000	0.201418	1911255.840569
rumore	ristorante_02_032_002	59.652346	470.000000	0.192908	968836.143861
rumore	ristorante_02_033_000	67.155708	456.000000	0.218440	839222.648553
rumore	ristorante_02_033_001	70.202994	451.000000	0.221277	1353863.448582
rumore	ristorante_02_033_002	82.259992	485.000000	0.232624	933237.463404
rumore	ristorante_02_034_000	68.419810	455.000000	0.235461	1159751.384677
rumore	ristorante_02_034_001	40.954340	446.000000	0.100709	266824.717481
rumore	ristorante_02_034_002	73.742945	455.000000	0.269504	744045.819514
rumore	ristorante_02_035_000	69.121582	460.000000	0.198582	836106.588793
rumore	ristorante_02_035_001	78.937235	449.000000	0.239716	973769.802861
rumore	ristorante_02_035_002	87.032673	456.000000	0.268085	540370.456148
rumore	ristorante_02_036_000	90.615976	431.000000	0.263830	608822.121370
rumore	ristorante_02_036_001	68.189956	468.000000	0.224113	492261.384349
rumore	ristorante_02_036_002	65.603727	486.000000	0.191489	178533.609077
rumore	ristorante_02_037_000	106.733152	451.000000	0.324823	1807480.250873
rumore	ristorante_02_037_001	74.021678	473.000000	0.239716	1309213.594610
rumore	ristorante_02_037_002	118.462847	456.000000	0.337589	324271.118828
rumore	ristorante_02_038_000	98.983418	416.000000	0.256738	273728.351086
rumore	ristorante_02_038_001	119.274290	458.000000	0.348936	150232.453577
rumore	ristorante_02_038_002	173.272086	454.000000	0.483688	1225352.151983
rumore	ristorante_02_039_000	53.842796	471.000000	0.198582	1384206.239502
rumore	ristorante_02_039_001	81.472571	453.000000	0.211348	1060427.524733
rumore	ristorante_02_039_002	41.289591	443.000000	0.136170	274999.882848
rumore	ristorante_02_040_000	60.137590	464.000000	0.178723	148341.206610
rumore	ristorante_02_040_001	68.891021	470.000000	0.232624	313597.227960
rumore	ristorante_02_040_002	45.212424	482.000000	0.221277	1101856.058996
rumore	ristorante_02_041_000	67.666003	464.000000	0.225532	821669.851452
rumore	ristorante_02_041_001	85.011298	445.000000	0.272340	498486.871262
rumore	ristorante_02_041_002	67.125364	446.000000	0.214184	448852.674241
rumore	ristorante_02_042_000	61.531581	509.000000	0.265248	926997.829831
rumore	ristorante_02_042_001	66.218881	454.000000	0.211348	677411.229601
rumore	ristorante_02_042_002	56.334077	418.000000	0.146099	762390.149775
rumore	ristorante_02_043_000	65.574148	467.000000	0.218440	1047676.477389
rumore	ristorante_02_043_001	97.615128	471.000000	0.282270	302542.789302
rumore	ristorante_02_043_002	64.540868	462.000000	0.190071	477786.273072
rumore	ristorante_02_044_000	63.063474	452.000000	0.218440	957101.809179
rumore	ristorante_02_044_001	83.393861	467.000000	0.268085	831756.299145
rumore	ristorante_02_044_002	52.323810	490.000000	0.167376	516095.647267
rumore	ristorante_02_045_000	72.095590	460.000000	0.232624	2325310.595988
rumore	ristorante_02_045_001	58.466824	433.000000	0.165957	1117821.813237
rumore	ristorante_02_045_002	51.474239	459.000000	0.177305	1023459.187548
rumore	ristorante_02_046_000	55.145658	461.000000	0.173050	1238016.207941
rumore	ristorante_02_046_001	81.253135	449.000000	0.276596	480234.590068
rumore	ristorante_02_046_002	96.227058	463.000000	0.317730	869524.058010
rumore	ristorante_02_047_000	80.082249	446.000000	0.251064	780409.865813
rumore	ristorante_02_047_001	65.770137	468.000000	0.207092	1317564.820095
rumore	ristorante_02_047_002	53.119304	466.000000	0.207092	769118.168142
rumore	ristorante_02_048_000	64.060425	449.000000	0.214184	1449827.933772
rumore	ristorante_02_048_001	114.817041	443.000000	0.354610	1460352.571599
rumore	ristorante_02_048_002	79.856237	455.000000	0.228369	5487.399652
rumore	ristorante_02_049_000	82.984595	477.000000	0.260993	1001018.318043
rumore	ristorante_02_049_001	57.207798	444.000000	0.200000	843493.761462
rumore	ristorante_02_049_002	71.397892	450.000000	0.248227	1180817.976263
rumore	ristorante_02_050_000	48.176747	462.000000	0.146099	736791.668666
rumore	ristorante_02_050_001	57.725280	457.000000	0.192908	1028572.003445
rumore	ristorante_02_050_002	59.764664	459.000000	0.187234	408335.877376
rumore	ristorante_02_051_000	72.433102	453.000000	0.242553	735014.965463
rumore	ristorante_02_051_001	78.717359	476.000000	0.209929	3341827.683931
rumore	ristorante_02_051_002	80.117111	480.000000	0.268085	1624846.091089
rumore	ristorante_02_052_000	77.206468	467.000000	0.252482	956335.566996
rumore	ristorante_02_052_001	51.338841	441.000000	0.173050	1710538.364469
rumore	ristorante_02_052_002	51.094946	462.000000	0.174468	1451702.483229
rumore	ristorante_02_053_000	75.653339	460.000000	0.242553	1646277.957820
rumore	ristorante_02_053_001	62.492924	448.000000	0.184397	979121.108720
rumore	ristorante_02_053_002	90.811784	466.000000	0.313475	443108.869928
rumore	ristorante_02_054_000	80.601911	466.000000	0.256738	1165521.335034
rumore	ristorante_02_054_001	120.416912	468.000000	0.326241	1435276.291135
rumore	ristorante_02_054_002	48.662982	467.000000	0.171631	328646.944088
rumore	ristorante_02_055_000	67.323971	501.000000	0.215603	361969.095960
rumore	ristorante_02_055_001	75.445043	442.000000	0.249645	995205.706371
rumore	ristorante_02_055_002	59.511325	464.000000	0.204255	1407828.307198
rumore	ristorante_02_056_000	63.654006	449.000000	0.198582	1409751.196788
rumore	ristorante_02_056_001	80.498437	482.000000	0.239716	805538.666046
rumore	ristorante_02_056_002	84.957561	469.000000	0.285106	618000.014410
rumore	ristorante_02_057_000	60.917452	462.000000	0.191489	347067.276811
rumore	ristorante_02_057_001	95.305609	463.000000	0.275177	1556735.631711
rumore	ristorante_02_057_002	68.988383	461.000000	0.236879	1240332.278314
rumore	ristorante_02_058_000	51.553794	486.000000	0.175887	1525484.211800
rumore	ristorante_02_058_001	41.578170	446.000000	0.136170	511327.835746
rumore	ristorante_02_058_002	75.657358	465.000000	0.245390	1424205.847809
rumore	ristorante_02_059_000	65.012380	471.000000	0.202837	1945830.309538
rumore	ristorante_02_059_001	56.661403	467.000000	0.163121	293309.516661
rumore	ristorante_02_059_002	70.908517	459.000000	0.229787	578495.538873
rumore	ristorante_02_060_000	55.120571	447.000000	0.174468	559585.834835
rumore	ristorante_02_060_001	73.327297	470.000000	0.252482	845885.244220
rumore	ristorante_02_060_002	41.001677	450.000000	0.147518	838127.067589
rumore	ristorante_02_061_000	73.997357	459.000000	0.239716	1319052.910457
rumore	ristorante_02_061_001	46.130728	444.000000	0.143262	241857.563404
rumore	ristorante_02_061_002	65.972589	462.000000	0.221277	400583.373720
rumore	ristorante_02_062_000	66.466165	467.000000	0.245390	1229969.444023
rumore	ristorante_02_062_001	57.872054	470.000000	0.194326	580965.032205
rumore	ristorante_02_062_002	38.422442	450.000000	0.123404	494585.775076
rumore	ristorante_02_063_000	52.159356	475.000000	0.161702	869454.376277
rumore	ristorante_02_063_001	111.196114	434.000000	0.285106	691942.641546
rumore	ristorante_02_063_002	61.763037	460.000000	0.205674	118592.808109
rumore	ristorante_02_064_000	91.389790	464.000000	0.253901	551779.033282
rumore	ristorante_02_064_001	64.609089	484.000000	0.195745	1081100.761724
rumore	ristorante_02_064_002	107.453466	462.000000	0.292199	395193.454700
rumore	ristorante_02_065_000	61.670860	478.000000	0.229787	902097.976047
rumore	ristorante_02_065_001	55.884401	440.000000	0.151773	831973.488000
rumore	ristorante_02_065_002	78.383011	442.000000	0.219858	635727.850126
rumore	ristorante_02_066_000	52.061394	457.000000	0.165957	1993968.538846
rumore	ristorante_02_066_001	86.404347	470.000000	0.276596	1629746.138904
rumore	ristorante_02_066_002	100.738711	482.000000	0.272340	330711.069674
rumore	ristorante_02_067_000	125.223010	482.000000	0.364539	793710.504725
rumore	ristorante_02_067_001	85.397521	462.000000	0.245390	76834.216265
rumore	ristorante_02_067_002	81.837598	439.000000	0.239716	504104.475963
rumore	ristorante_02_068_000	103.905563	470.000000	0.290780	1092442.909673
rumore	ristorante_02_068_001	56.408596	460.000000	0.180142	487111.391589
rumore	ristorante_02_068_002	61.261439	452.000000	0.188652	1257744.705782
rumore	ristorante_02_069_000	79.266888	393.000000	0.207092	1345029.404974
rumore	ristorante_02_069_001	52.787321	465.000000	0.168794	904938.520313
rumore	ristorante_02_069_002	55.423009	468.000000	0.194326	579852.267011
rumore	ristorante_02_070_000	95.844391	393.000000	0.252482	1557614.907117
rumore	ristorante_02_070_001	65.824153	434.000000	0.214184	553025.142929
rumore	ristorante_02_070_002	58.783762	458.000000	0.181560	455096.963419
rumore	ristorante_02_071_000	56.856042	487.000000	0.182979	160986.246484
rumore	ristorante_02_071_001	112.308054	444.000000	0.331915	130246.086262
rumore	ristorante_02_071_002	54.606745	448.000000	0.184397	753297.111821
rumore	ristorante_02_072_000	47.300816	470.000000	0.161702	609736.335090
rumore	ristorante_02_072_001	46.743741	463.000000	0.143262	666433.720078
rumore	ristorante_02_072_002	55.398048	487.000000	0.158865	430780.731004
rumore	ristorante_02_073_000	68.759271	488.000000	0.211348	609335.073122
rumore	ristorante_02_073_001	57.858991	411.000000	0.153191	2729686.061808
rumore	ristorante_02_073_002	56.689416	503.000000	0.187234	3155322.148405
rumore	ristorante_02_074_000	63.700947	480.000000	0.205674	405470.936572
rumore	ristorante_02_074_001	45.457910	515.000000	0.143262	1311024.177426
rumore	ristorante_02_074_002	64.102122	466.000000	0.205674	708618.337228
rumore	ristorante_02_075_000	53.918699	442.000000	0.170213	696390.185380
rumore	ristorante_02_075_001	56.013331	453.000000	0.165957	576063.634788
rumore	ristorante_02_075_002	81.103440	453.000000	0.292199	599828.413097
rumore	ristorante_02_076_000	94.928053	414.000000	0.275177	-152986.468961
rumore	ristorante_02_076_001	77.975750	453.000000	0.279433	-26594.761661
rumore	ristorante_02_076_002	85.853885	440.000000	0.252482	4579174.791111
rumore	ristorante_02_077_000	77.972385	425.000000	0.204255	2275368.623291
rumore	ristorante_02_077_001	43.045272	466.000000	0.133333	581197.811354
rumore	ristorante_02_077_002	64.981842	460.000000	0.224113	891274.354581
rumore	ristorante_02_078_000	71.453442	471.000000	0.222695	798020.985886
rumore	ristorante_02_078_001	53.833455	464.000000	0.192908	737185.996321
rumore	ristorante_02_078_002	53.261061	451.000000	0.164539	433547.613679
rumore	ristorante_02_079_000	79.746095	469.000000	0.258156	427650.979583
rumore	ristorante_02_079_001	67.796413	453.000000	0.229787	726608.875066
rumore	ristorante_02_079_002	81.872412	477.000000	0.243972	626084.383748
rumore	ristorante_02_080_000	65.863911	461.000000	0.194326	513099.092127
rumore	ristorante_02_080_001	87.451468	431.000000	0.252482	366579.800822
rumore	ristorante_02_080_002	58.140207	442.000000	0.190071	306034.276725
rumore	ristorante_02_081_000	126.979274	439.000000	0.330496	1485995.401318
rumore	ristorante_02_081_001	114.625183	447.000000	0.324823	5962041.193881
rumore	ristorante_02_081_002	81.369950	465.000000	0.243972	338097.626049
rumore	ristorante_02_082_000	74.545846	447.000000	0.259574	1211687.261650
rumore	ristorante_02_082_001	69.515188	424.000000	0.218440	1102071.537055
rumore	ristorante_02_082_002	112.623711	455.000000	0.326241	4073523.441825
rumore	ristorante_02_083_000	73.507656	455.000000	0.256738	600737.265031
rumore	ristorante_02_083_001	81.813170	473.000000	0.287943	1193664.913829
rumore	ristorante_02_083_002	56.341033	428.000000	0.150355	527097.972252
rumore	ristorante_02_084_000	57.692350	457.000000	0.177305	596841.942357
rumore	ristorante_02_084_001	67.858305	441.000000	0.200000	1506982.030384
rumore	ristorante_02_084_002	68.709698	469.000000	0.235461	378666.564495
rumore	ristorante_02_085_000	105.766893	428.000000	0.336170	-1034236.564654
rumore	ristorante_02_085_001	57.075656	446.000000	0.164539	-732830.717967
rumore	ristorante_02_085_002	101.542168	447.000000	0.292199	1716830.804346
rumore	ristorante_02_086_000	102.781787	461.000000	0.309220	1072333.535294
rumore	ristorante_02_086_001	57.876794	457.000000	0.184397	1670306.615434
rumore	ristorante_02_086_002	66.889576	474.000000	0.201418	872186.089011
rumore	ristorante_02_087_000	94.994328	451.000000	0.293617	104774.317842
rumore	ristorante_02_087_001	93.176154	470.000000	0.269504	1156217.881741
rumore	ristorante_02_087_002	35.707403	471.000000	0.140426	1197071.797487
rumore	ristorante_02_088_000	98.767295	440.000000	0.287943	3371634.680064
rumore	ristorante_02_088_001	61.310633	475.000000	0.208511	862068.780412
rumore	ristorante_02_088_002	53.021830	468.000000	0.180142	101290.820605
rumore	ristorante_02_089_000	71.050046	464.000000	0.208511	2373926.112724
rumore	ristorante_02_089_001	65.759235	471.000000	0.180142	956001.608130
rumore	ristorante_02_089_002	48.682861	476.000000	0.164539	441369.423635
rumore	ristorante_02_090_000	55.664633	441.000000	0.161702	705214.796651
rumore	ristorante_02_090_001	53.861429	452.000000	0.185816	1593412.928531
rumore	ristorante_02_090_002	91.980430	466.000000	0.229787	126939.314044
rumore	ristorante_02_091_000	72.900281	447.000000	0.222695	1096789.054823
rumore	ristorante_02_091_001	81.100468	479.000000	0.259574	1180444.306168
rumore	ristorante_02_091_002	63.574793	461.000000	0.212766	425952.943193
rumore	ristorante_02_092_000	69.438736	454.000000	0.231206	1064198.953335
rumore	ristorante_02_092_001	57.190607	461.000000	0.191489	1501822.211444
rumore	ristorante_02_092_002	85.317327	455.000000	0.253901	1530342.152578
rumore	ristorante_02_093_000	71.233640	456.000000	0.236879	584592.073161
rumore	ristorante_02_093_001	82.746079	449.000000	0.243972	1402805.953079
rumore	ristorante_02_093_002	121.299839	443.000000	0.331915	485219.673557
rumore	ristorante_02_094_000	61.809560	439.000000	0.168794	118625.818211
rumore	ristorante_02_094_001	59.543704	446.000000	0.171631	1793002.944074
rumore	ristorante_02_094_002	70.349109	457.000000	0.228369	1993545.985559
rumore	ristorante_02_095_000	56.129828	469.000000	0.184397	-954.812652
rumore	ristorante_02_095_001	56.895673	428.000000	0.157447	2339547.872060
rumore	ristorante_02_095_002	69.009235	456.000000	0.207092	843235.054630
rumore	ristorante_02_096_000	67.191489	458.000000	0.207092	408913.507754
rumore	ristorante_02_096_001	76.360692	456.000000	0.238298	1057935.025563
rumore	ristorante_02_096_002	45.814741	472.000000	0.131915	605248.222098
rumore	ristorante_02_097_000	70.685945	475.000000	0.252482	780535.271364
rumore	ristorante_02_097_001	48.495016	448.000000	0.144681	-1839.712111
rumore	ristorante_02_097_002	64.047255	445.000000	0.185816	410381.018090
rumore	ristorante_02_098_000	71.799984	467.000000	0.215603	739097.797870
rumore	ristorante_02_098_001	65.816839	462.000000	0.212766	94709.770609
rumore	ristorante_02_098_002	51.673149	468.000000	0.143262	551645.053949
rumore	ristorante_02_099_000	98.638380	407.000000	0.263830	2500209.498530
rumore	ristorante_02_099_001	90.752737	432.000000	0.256738	2229787.688009
rumore	ristorante_02_099_002	82.062694	448.000000	0.228369	3027257.791169
rumore	strada_02_000_000	94.125089	477.000000	0.297872	2192437.845004
rumore	strada_02_000_001	77.365847	509.000000	0.270922	3829989.785839
rumore	strada_02_000_002	83.727230	474.000000	0.269504	2426202.229883
rumore	strada_02_001_000	69.381132	478.000000	0.215603	4219829.740477
rumore	strada_02_001_001	93.407664	473.000000	0.300709	2916797.559275
rumore	strada_02_001_002	83.490100	478.000000	0.268085	2629891.449795
rumore	strada_02_002_000	50.082172	487.000000	0.190071	1517371.991838
rumore	strada_02_002_001	70.423054	503.000000	0.238298	2161545.966425
rumore	strada_02_002_002	93.894912	496.000000	0.283688	2096885.584966
rumore	strada_02_003_000	62.333492	530.000000	0.225532	1796438.473687
rumore	strada_02_003_001	79.115338	516.000000	0.286525	1587780.365165
rumore	strada_02_003_002	66.570899	520.000000	0.215603	1592731.573639
rumore	strada_02_004_000	57.533959	495.000000	0.177305	2322258.350444
rumore	strada_02_004_001	104.509780	507.000000	0.258156	1678964.723715
rumore	strada_02_004_002	89.401910	500.000000	0.320567	1608203.091159
rumore	strada_02_005_000	43.756379	465.000000	0.140426	1702830.761581
rumore	strada_02_005_001	68.548962	485.000000	0.235461	1300465.346644
rumore	strada_02_005_002	67.480414	499.000000	0.234043	2274177.115562
rumore	strada_02_006_000	75.783027	468.000000	0.238298	3046888.509948
rumore	strada_02_006_001	65.715202	470.000000	0.207092	2644513.443714
rumore	strada_02_006_002	66.641046	497.000000	0.239716	2622712.885592
rumore	strada_02_007_000	82.540324	488.000000	0.259574	2435899.740885
rumore	strada_02_007_001	68.218997	478.000000	0.238298	2325424.614969
rumore	strada_02_007_002	53.027163	461.000000	0.178723	1237579.271118
rumore	strada_02_008_000	32.830807	502.000000	0.141844	2020709.062232
rumore	strada_02_008_001	40.765595	467.000000	0.192908	1356468.425172
rumore	strada_02_008_002	41.313964	476.000000	0.143262	1582891.428234
rumore	strada_02_009_000	45.415845	454.000000	0.171631	1796630.818572
rumore	strada_02_009_001	41.882441	480.000000	0.182979	2288592.470189
rumore	strada_02_009_002	52.883015	477.000000	0.202837	2614662.814521
rumore	strada_02_010_000	65.716602	487.000000	0.228369	2928964.109474
rumore	strada_02_010_001	77.093548	461.000000	0.253901	1613938.073759
rumore	strada_02_010_002	77.864141	462.000000	0.255319	2127679.034165
rumore	strada_02_011_000	60.291913	477.000000	0.201418	2188352.950987
rumore	strada_02_011_001	52.602587	500.000000	0.177305	1664321.042402
rumore	strada_02_011_002	50.882549	491.000000	0.194326	1816915.178945
rumore	strada_02_012_000	47.448625	448.000000	0.164539	913071.484349
rumore	strada_02_012_001	53.306021	483.000000	0.170213	2872657.377683
rumore	strada_02_012_002	64.894022	458.000000	0.214184	2477209.388307
rumore	strada_02_013_000	66.824340	488.000000	0.235461	1938855.684507
rumore	strada_02_013_001	50.682263	485.000000	0.161702	2915555.073511
rumore	strada_02_013_002	50.285607	484.000000	0.184397	2474372.813218
rumore	strada_02_014_000	58.294456	486.000000	0.187234	1574372.558842
rumore	strada_02_014_001	43.395405	493.000000	0.161702	2107115.393752
rumore	strada_02_014_002	57.124952	498.000000	0.211348	1958988.003612
rumore	strada_02_015_000	94.770918	478.000000	0.293617	2364212.375839
rumore	strada_02_015_001	81.532927	467.000000	0.269504	2291965.304248
rumore	strada_02_015_002	71.895425	494.000000	0.235461	2636823.441389
rumore	strada_02_016_000	45.782095	486.000000	0.202837	1653124.384244
rumore	strada_02_016_001	63.010758	481.000000	0.225532	2203548.321081
rumore	strada_02_016_002	58.652750	464.000000	0.236879	2832774.897832
rumore	strada_02_017_000	45.768341	495.000000	0.163121	1651067.036415
rumore	strada_02_017_001	71.780684	470.000000	0.231206	2531456.332707
rumore	strada_02_017_002	88.349080	454.000000	0.276596	2316119.908612
rumore	strada_02_018_000	56.664329	472.000000	0.200000	1869800.339538
rumore	strada_02_018_001	54.089043	478.000000	0.180142	2300870.977176
rumore	strada_02_018_002	50.757977	497.000000	0.182979	2807597.652327
rumore	strada_02_019_000	55.453395	475.000000	0.201418	2253371.244531
rumore	strada_02_019_001	63.779630	467.000000	0.192908	2305625.443912
rumore	strada_02_019_002	66.622250	473.000000	0.215603	2485071.363496
rumore	strada_02_020_000	110.802937	469.000000	0.336170	2756911.059129
rumore	strada_02_020_001	100.647753	471.000000	0.309220	2681481.486601
rumore	strada_02_020_002	87.252332	486.000000	0.283688	1999581.204070
rumore	strada_02_021_000	69.700851	470.000000	0.239716	1847276.073604
rumore	strada_02_021_001	87.424805	465.000000	0.285106	2608414.494161
rumore	strada_02_021_002	125.277168	471.000000	0.377305	2699414.733106
rumore	strada_02_022_000	69.460165	504.000000	0.241135	1936859.507526
rumore	strada_02_022_001	80.795630	531.000000	0.280851	1626052.827546
rumore	strada_02_022_002	54.285243	519.000000	0.197163	1751433.781118
rumore	strada_02_023_000	62.231053	499.000000	0.204255	2071858.500364
rumore	strada_02_023_001	60.543500	497.000000	0.185816	1761245.831917
rumore	strada_02_023_002	46.788218	521.000000	0.167376	1710279.343349
rumore	strada_02_024_000	23.967955	538.000000	0.150355	1840773.231524
rumore	strada_02_024_001	22.604270	533.000000	0.126241	1167115.420092
rumore	strada_02_024_002	52.897165	504.000000	0.207092	1346044.650886
rumore	strada_02_025_000	19.399220	504.000000	0.116312	2688269.368581
rumore	strada_02_025_001	27.947126	501.000000	0.146099	1620544.349528
rumore	strada_02_025_002	71.167084	518.000000	0.258156	2025295.738545
rumore	strada_02_026_000	53.566821	480.000000	0.201418	2743008.914475
rumore	strada_02_026_001	52.438201	472.000000	0.208511	2504126.971492
rumore	strada_02_026_002	138.132824	463.000000	0.367376	3158279.969758
rumore	strada_02_027_000	108.270932	465.000000	0.337589	2540064.985876
rumore	strada_02_027_001	75.378192	472.000000	0.246809	3436028.118694
rumore	strada_02_027_002	68.604263	477.000000	0.262411	2580254.160430
rumore	strada_02_028_000	51.628844	464.000000	0.190071	2499571.138924
rumore	strada_02_028_001	54.359687	473.000000	0.205674	2324557.041300
